Class_day,Date,Day,Topic,Tutorial_link,Lecture_slides,Other
1,13.05.24,Monday,"Course structure and intro, Tutorial 1: unix/cloudlab",[Cloudlab](https://rsbrennan.github.io/EvolutionaryGenomics_2024/Tutorials/cloudlab.html); [Unix](https://rsbrennan.github.io/EvolutionaryGenomics_2023/Tutorials/Tutorial_01_unix.html),[Lecture 1](https://rsbrennan.github.io/EvolutionaryGenomics_2023/lectures/Lecture_01.pdf),
2,14.05.24,Tuesday,Tutorial 2: Processing raw data,[Tutorial 2](https://rsbrennan.github.io/EvolutionaryGenomics_2024/Tutorials/Tutorial_02_RAW_data.html),,
3,15.05.24,Wednesday,Tutorial 3: Working with SNPs,[Tutorial 3](https://rsbrennan.github.io/EvolutionaryGenomics_2024/Tutorials/Tutorial_03_SNP_data.html),,
4,16.05.24,Thursday,Tutorial 4: Population Structure,[Tutorial 4](https://rsbrennan.github.io/EvolutionaryGenomics_2024/Tutorials/Tutorial_04_Population_structure.html),,[Multiple testing example](https://rsbrennan.github.io/EvolutionaryGenomics/misc/multiple_testing.html)
5,17.05.24,Friday,Tutorial 5: Selection,[Tutorial 5](https://rsbrennan.github.io/EvolutionaryGenomics_2024/Tutorials/Tutorial_05_selection.html),,
6,20.05.24,Monday,HOLIDAY- Whit Monday,,,
7,21.05.24,Tuesday,Project day 1,,,
8,22.05.24,Wednesday,Project day 2,,,
9,23.05.24,Thursday,Project day 3,,,
10,24.05.24,Friday,Project day 4,,,
,,,,,,
